Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14006_001
"55079011200","14000US55079011200","Census Tract 112, Milwaukee County, Wisconsin","Census Tract 112, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004825",,,,,"55","079",,,,"011200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45891
"55079011300","14000US55079011300","Census Tract 113, Milwaukee County, Wisconsin","Census Tract 113, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004826",,,,,"55","079",,,,"011300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28929
"55079011400","14000US55079011400","Census Tract 114, Milwaukee County, Wisconsin","Census Tract 114, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004827",,,,,"55","079",,,,"011400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59276
"55079012200","14000US55079012200","Census Tract 122, Milwaukee County, Wisconsin","Census Tract 122, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004828",,,,,"55","079",,,,"012200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21936
"55079012300","14000US55079012300","Census Tract 123, Milwaukee County, Wisconsin","Census Tract 123, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004829",,,,,"55","079",,,,"012300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24655
"55079012400","14000US55079012400","Census Tract 124, Milwaukee County, Wisconsin","Census Tract 124, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004830",,,,,"55","079",,,,"012400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35833
"55079012500","14000US55079012500","Census Tract 125, Milwaukee County, Wisconsin","Census Tract 125, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004831",,,,,"55","079",,,,"012500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64196
"55079012600","14000US55079012600","Census Tract 126, Milwaukee County, Wisconsin","Census Tract 126, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004832",,,,,"55","079",,,,"012600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43380
"55079012700","14000US55079012700","Census Tract 127, Milwaukee County, Wisconsin","Census Tract 127, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004833",,,,,"55","079",,,,"012700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52243
"55079012800","14000US55079012800","Census Tract 128, Milwaukee County, Wisconsin","Census Tract 128, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004834",,,,,"55","079",,,,"012800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44844
"55079012900","14000US55079012900","Census Tract 129, Milwaukee County, Wisconsin","Census Tract 129, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004835",,,,,"55","079",,,,"012900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42750
"55079013000","14000US55079013000","Census Tract 130, Milwaukee County, Wisconsin","Census Tract 130, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004836",,,,,"55","079",,,,"013000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34938
"55079013300","14000US55079013300","Census Tract 133, Milwaukee County, Wisconsin","Census Tract 133, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004837",,,,,"55","079",,,,"013300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29595
"55079013400","14000US55079013400","Census Tract 134, Milwaukee County, Wisconsin","Census Tract 134, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004838",,,,,"55","079",,,,"013400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23258
"55079013500","14000US55079013500","Census Tract 135, Milwaukee County, Wisconsin","Census Tract 135, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004839",,,,,"55","079",,,,"013500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16370
"55079013600","14000US55079013600","Census Tract 136, Milwaukee County, Wisconsin","Census Tract 136, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004840",,,,,"55","079",,,,"013600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16880
"55079013700","14000US55079013700","Census Tract 137, Milwaukee County, Wisconsin","Census Tract 137, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004841",,,,,"55","079",,,,"013700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17169
"55079014100","14000US55079014100","Census Tract 141, Milwaukee County, Wisconsin","Census Tract 141, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004842",,,,,"55","079",,,,"014100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22375
"55079014300","14000US55079014300","Census Tract 143, Milwaukee County, Wisconsin","Census Tract 143, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004843",,,,,"55","079",,,,"014300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42360
"55079014400","14000US55079014400","Census Tract 144, Milwaukee County, Wisconsin","Census Tract 144, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004844",,,,,"55","079",,,,"014400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64503
"55079014600","14000US55079014600","Census Tract 146, Milwaukee County, Wisconsin","Census Tract 146, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004845",,,,,"55","079",,,,"014600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10258
"55079014700","14000US55079014700","Census Tract 147, Milwaukee County, Wisconsin","Census Tract 147, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004846",,,,,"55","079",,,,"014700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8790
"55079014800","14000US55079014800","Census Tract 148, Milwaukee County, Wisconsin","Census Tract 148, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004847",,,,,"55","079",,,,"014800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18110
"55079014900","14000US55079014900","Census Tract 149, Milwaukee County, Wisconsin","Census Tract 149, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004848",,,,,"55","079",,,,"014900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16707
"55079015700","14000US55079015700","Census Tract 157, Milwaukee County, Wisconsin","Census Tract 157, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004849",,,,,"55","079",,,,"015700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22392
"55079015800","14000US55079015800","Census Tract 158, Milwaukee County, Wisconsin","Census Tract 158, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004850",,,,,"55","079",,,,"015800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25377
"55079015900","14000US55079015900","Census Tract 159, Milwaukee County, Wisconsin","Census Tract 159, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004851",,,,,"55","079",,,,"015900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21615
